t1.node,t2.node,est.net,ci.lower,ci.upper
PUN,FAI,0,-0.0949209044816731,0.0897453557991409
CRY,FAI,0,-0.0434825346780048,0.124193396931172
IND,FAI,0,-0.109385879088873,0.0731429154061897
LIB,FAI,-0.164630982562506,-0.247568224025969,-0.0811947890062986
PHY,FAI,0,-0.139556551060087,0.0217135587574943
IMP,FAI,0,-0.0973216924295218,0.087951665868366
TIR,FAI,0.135901417288375,0.042789001537021,0.230648631234611
WOR,FAI,0,-0.0834376807366232,0.132354916384105
ANH,FAI,0,-0.0600308568006737,0.136970563644045
DIS,FAI,0,-0.0203559064474118,0.170476469121865
RES,FAI,0,-0.049159492630604,0.154441534243122
SUI,FAI,0.0951310073742235,0.00794689365544546,0.183007818580712
SAD,FAI,0,-0.158639239783459,0.0507101091735874
APP,FAI,0,-0.0204695139735719,0.149808973117225
CON,FAI,0,-0.0320742650143326,0.152553440814639
SLE,FAI,0,-0.0791123836775155,0.101097839630912
TREAT,FAI,0,-0.164498673941531,0.145197743618791
BAD,GUI,0,-0.0658272980526777,0.135245707414421
ANX,GUI,0,-0.00836393887037305,0.1958485514967
AFR,GUI,0.0917774781126253,0.000783409891307429,0.182383523353977
FAI,GUI,0,-0.103396250883338,0.0841253560072308
GUI,GUI,0.190959040606425,0.0988938765168242,0.282620619109483
PUN,GUI,0,-0.0955048918190422,0.0959323203533393
CRY,GUI,0,-0.0499982887965319,0.123812158956409
IND,GUI,0,-0.0598680589725376,0.129315997499664
LIB,GUI,0,-0.117634222867849,0.0548404201916676
PHY,GUI,0,-0.0922841693538205,0.0748896281527071
IMP,GUI,0,-0.160252714094048,0.0318014107459175
TIR,GUI,0,-0.0982545930491547,0.0965068731713332
WOR,GUI,0,-0.0414969499390577,0.182212734594473
ANH,GUI,0,-0.143472328406493,0.0607148744796977
DIS,GUI,0.146567590900658,0.0467503991394401,0.244548712454014
RES,GUI,0,-0.058375654414853,0.152648348008943
SUI,GUI,0,-0.0905116372207424,0.0909358684853427
SAD,GUI,0,-0.123489402501129,0.0934965250702664
APP,GUI,0,-0.0714872456409387,0.105009173853412
CON,GUI,0,-0.0340457130633805,0.157331615460627
SLE,GUI,0,-0.122959582157896,0.0638179188032244
TREAT,GUI,0,-0.239142832435452,0.0818571236133614
BAD,PUN,0,-0.0344301288472618,0.158169227870732
ANX,PUN,0,-0.137232821151798,0.0584036012194954
AFR,PUN,0,-0.0169789511879732,0.15708241342317
FAI,PUN,0,-0.0760358688744343,0.103655755385577
GUI,PUN,0,-0.155414495752057,0.0206850387246122
PUN,PUN,0.312297503323074,0.224574673524231,0.40792296922996
CRY,PUN,0,-0.147807716357888,0.0187151568843736
IND,PUN,0,-0.165474159678066,0.0158525016859689
LIB,PUN,0.102419673282271,0.0209729839681069,0.18615799802183
PHY,PUN,0,-0.0787874462628322,0.0813602565677341
IMP,PUN,0,-0.113593701414121,0.0703900726903156
TIR,PUN,0,-0.0523325776570807,0.134158400369711
