node1,node2,sample,CIlower,CIupper
PHY,APP,-0.034666722243628,-0.120372279086299,0.051038834599043
PHY,CON,-0.0546845034723599,-0.154576157712083,0.045207150767363
PHY,IMP,0.0671769049481388,-0.0313427008078502,0.165696510704128
PHY,SAD,0.136555586379995,0.039874253061774,0.233236919698216
PHY,TIR,-0.121823947054191,-0.208941363146444,-0.0347065309619369
PUN,ANH,0.0324886463299459,-0.0482371169160901,0.113214409575982
PUN,DIS,0.123096029888399,0.0292640381673042,0.216928021609494
PUN,RES,0.0822155611585881,-0.0107944563870614,0.175225578704238
RES,APP,0.096935452418032,0.00351498892486431,0.1903559159112
RES,CON,0.211670396674591,0.122894454862205,0.300446338486976
RES,SAD,0.038334316037669,-0.0396234685460317,0.11629210062137
RES,SLE,0.0804794950857959,-0.001222918625609,0.162181908797201
