node1,node2,sample,CIlower,CIupper
TIR,SAD,0.0330060704726752,-0.0444710561792655,0.110483197124616
TIR,SLE,0.166053399132025,0.0841145201765325,0.247992278087517
TIR,SUI,0.0639756660932359,-0.0229630441821934,0.150914376368665
TREAT,AFR,-0.0414731923893902,-0.155284561039098,0.0723381762603175
TREAT,BAD,-0.0868826685847837,-0.219089113676861,0.0453237765072936
TREAT,CON,-0.0464477196478492,-0.163439844117745,0.070544404822047
TREAT,IMP,-0.0355782843827015,-0.146671094359598,0.0755145255941953
TREAT,LIB,0.23512677378262,0.103333567773307,0.366919979791933
TREAT,RES,-0.0981125223512369,-0.229514558479603,0.0332895137771287
TREAT,SAD,-0.027273119694054,-0.127419717618777,0.0728734782306694
TREAT,SLE,0.219131340732388,0.0851264532283756,0.353136228236401
